2020-01-24 15:55:07
1,"(['Haarlem', 'Heemstede-Aerdenhout', 'Leiden Centraal', 'Den Haag Laan v NOI', 'Delft', 'Schiedam Centrum', 'Rotterdam Centraal', 'Rotterdam Alexander', 'Rotterdam Blaak', 'Schiedam Centrum'], 80)"
2,"(['Nijmegen', 'Arnhem Centraal', 'Ede-Wageningen', 'Utrecht Centraal', 'Amersfoort', 'Apeldoorn', 'Deventer', 'Zutphen', 'Dieren', 'Arnhem Centraal'], 126)"
3,"(['Rotterdam Centraal', 'Dordrecht', 'Rotterdam Blaak'], 31)"
4,"(['Venlo', 'Helmond', 'Eindhoven', 'Weert', 'Roermond', 'Sittard', 'Maastricht'], 100)"
5,"(['Assen', 'Groningen', 'Leeuwarden', 'Heerenveen', 'Steenwijk', 'Zwolle', 'Deventer', 'Almelo', 'Hengelo', 'Enschede'], 171)"
6,"(['Den Haag Centraal', 'Leiden Centraal', 'Den Haag HS', 'Delft', 'Den Haag Centraal', 'Gouda', 'Rotterdam Alexander'], 73)"
7,"(['Amsterdam Amstel', 'Amsterdam Centraal', 'Amsterdam Sloterdijk', 'Zaandam', 'Castricum', 'Alkmaar', 'Hoorn', 'Zaandam', 'Beverwijk', 'Castricum'], 129)"
8,"(['Den Helder', 'Alkmaar'], 36)"
9,"(['Vlissingen', 'Roosendaal', 'Etten-Leur', 'Breda', 'Tilburg', 's-Hertogenbosch', 'Oss', 'Nijmegen'], 136)"
10,"(['Zutphen', 'Apeldoorn'], 20)"
11,"(['Beverwijk', 'Haarlem', 'Amsterdam Sloterdijk', 'Amsterdam Zuid', 'Schiphol Airport', 'Leiden Centraal', 'Alphen a/d Rijn', 'Gouda', 'Utrecht Centraal', 'Hilversum', 'Almere Centrum', 'Lelystad Centrum'], 170)"
12,"(['Tilburg', 'Eindhoven', 's-Hertogenbosch', 'Utrecht Centraal', 'Amsterdam Amstel', 'Amsterdam Zuid'], 95)"
13,"(['Sittard', 'Heerlen'], 15)"
14,"(['Utrecht Centraal', 'Amsterdam Centraal', 'Almere Centrum', 'Amsterdam Amstel', 'Hilversum'], 102)"
15,"(['Schiphol Airport', 'Utrecht Centraal', 'Alphen a/d Rijn'], 61)"
16,"(['Amsterdam Zuid', 'Schiphol Airport'], 6)"
17,"(['Breda', 'Dordrecht', 'Roosendaal'], 40)"
18,"(['Assen', 'Zwolle', 'Amersfoort'], 75)"
19,"(['Den Haag HS', 'Gouda', 'Den Haag Laan v NOI'], 49)"
20,"(['Almelo', 'Zwolle'], 42)"
6443.0

